snap_time,atm_id,recent_txn_count_7d,recent_avg_amt_7d,recent_fraud_count_7d,unique_from_acc_7d,recent_complaints_7d,atm_lat,atm_lon,label
2024-02-01 00:00:00,ATM_0000,29,2310.344827586207,1,29,1,28.842847540454933,77.04207951097403,0
2024-02-01 00:00:00,ATM_0001,18,1250.0,0,18,0,28.628898652589637,76.99726578961979,0
2024-02-01 00:00:00,ATM_0002,39,2269.230769230769,1,39,1,28.731338576670343,77.11318636034103,0
2024-02-01 00:00:00,ATM_0003,19,2973.684210526316,0,19,0,28.73854231895163,77.10475121963005,0
2024-02-01 00:00:00,ATM_0004,24,1020.8333333333334,0,24,0,28.401444875573763,77.1393726062339,0
2024-02-01 00:00:00,ATM_0005,34,2470.5882352941176,1,34,1,28.626212006592265,77.15656655739821,0
2024-02-01 00:00:00,ATM_0006,20,2425.0,0,20,0,28.486268490423285,77.07706167744516,0
2024-02-01 00:00:00,ATM_0007,26,1923.076923076923,0,26,0,28.48246310110483,76.96963960924015,1
2024-02-01 00:00:00,ATM_0008,29,2568.9655172413795,0,29,0,28.79634422948729,77.11078660859654,0
2024-02-01 00:00:00,ATM_0009,23,1173.9130434782608,0,23,0,28.825418271415742,76.82124696638223,0
2024-02-01 00:00:00,ATM_0010,31,2048.3870967741937,0,31,0,28.607600807371668,76.80127922273756,0
2024-02-01 00:00:00,ATM_0011,27,2333.3333333333335,0,27,0,28.512346854401898,77.04879463277979,0
2024-02-01 00:00:00,ATM_0012,26,2557.6923076923076,0,26,0,28.589996298732423,77.08455248080591,1
2024-02-01 00:00:00,ATM_0013,26,1826.923076923077,0,26,0,28.521339186505603,77.11036341095213,0
2024-02-01 00:00:00,ATM_0014,32,3890.625,0,32,0,28.78675161876408,77.1991786834372,0
2024-02-01 00:00:00,ATM_0015,18,1944.4444444444443,0,18,0,28.524661430914975,77.00805937947646,0
2024-02-01 00:00:00,ATM_0016,30,2166.6666666666665,0,30,0,28.733485623758572,76.82951707287275,0
2024-02-01 00:00:00,ATM_0017,19,1447.3684210526317,0,19,0,28.857112690293395,76.93167307846308,0
2024-02-01 00:00:00,ATM_0018,30,2616.6666666666665,0,30,0,28.74610995340198,76.9101213612396,0
2024-02-01 00:00:00,ATM_0019,28,1714.2857142857142,0,28,0,28.84415727636836,76.98365228837773,0
2024-02-01 00:00:00,ATM_0020,35,2542.8571428571427,0,35,0,28.532886390084848,77.13324346058226,0
2024-02-01 00:00:00,ATM_0021,32,2468.75,3,32,3,28.62464040032058,77.01253631718781,0
2024-02-01 00:00:00,ATM_0022,36,1888.888888888889,1,36,1,28.83950547776464,77.26535614714484,0
2024-02-01 00:00:00,ATM_0023,27,1925.9259259259259,1,27,1,28.889964419184384,77.19316005322013,0
2024-02-01 00:00:00,ATM_0024,30,1433.3333333333333,1,30,0,28.835290087336507,76.89309020271376,1
2024-02-01 00:00:00,ATM_0025,28,1875.0,0,28,0,28.464825804126388,77.18629384502253,0
2024-02-01 00:00:00,ATM_0026,27,1703.7037037037037,0,27,1,28.807376048679657,77.21104593139572,0
2024-02-01 00:00:00,ATM_0027,19,2973.684210526316,1,19,1,28.418688837831233,77.10096850203593,0
2024-02-01 00:00:00,ATM_0028,37,2148.6486486486488,1,37,1,28.588565520357218,76.9510044849405,0
2024-02-01 00:00:00,ATM_0029,28,1946.4285714285713,1,28,1,28.691629762953152,76.94774527227626,0
2024-02-01 00:00:00,ATM_0030,23,1673.9130434782608,0,23,0,28.73677504580395,77.27452912234075,0
2024-02-01 00:00:00,ATM_0031,28,2053.5714285714284,0,28,0,28.7276125937102,76.97350079099728,0
2024-02-01 00:00:00,ATM_0032,26,2846.153846153846,1,26,1,28.635061647054187,77.08886631086982,0
2024-02-01 00:00:00,ATM_0033,19,2368.4210526315787,1,19,1,28.580190724001923,77.1323503856681,0
2024-02-01 00:00:00,ATM_0034,28,2410.714285714286,3,28,3,28.651246075059476,76.92830596578499,0
2024-02-01 00:00:00,ATM_0035,22,2386.3636363636365,0,22,0,28.59696646586838,76.91080987549974,0
2024-02-01 00:00:00,ATM_0036,29,2448.2758620689656,0,29,0,28.439292278662272,76.80046758147914,0
2024-02-01 00:00:00,ATM_0037,32,1546.875,1,32,1,28.81679405358581,77.15375929555752,0
2024-02-01 00:00:00,ATM_0038,40,1737.5,0,40,0,28.83073953877405,76.83372598693897,0
2024-02-01 00:00:00,ATM_0039,21,1380.952380952381,1,21,1,28.75929104460528,77.16424209617642,0
2024-02-01 00:00:00,ATM_0040,43,2244.186046511628,2,43,2,28.471574828076317,76.9882498855232,0
2024-02-01 00:00:00,ATM_0041,24,2270.8333333333335,0,24,0,28.88738319280013,76.87485456851816,0
2024-02-01 00:00:00,ATM_0042,30,2316.6666666666665,3,30,3,28.75649338818505,77.19156004251259,0
2024-02-01 00:00:00,ATM_0043,22,1295.4545454545455,1,22,1,28.674568255297466,77.28941446638127,0
2024-02-01 00:00:00,ATM_0044,29,1913.7931034482758,1,29,1,28.808005521336568,77.09443051495491,0
2024-02-01 00:00:00,ATM_0045,24,1416.6666666666667,0,24,0,28.53320139685935,77.24932684243248,1
2024-02-01 00:00:00,ATM_0046,29,1379.3103448275863,0,29,0,28.783880948542876,77.29912627440368,0
2024-02-01 00:00:00,ATM_0047,25,1280.0,0,25,0,28.834480764147095,77.24413125835989,0
2024-02-01 00:00:00,ATM_0048,30,1700.0,0,30,0,28.685868194836885,76.85275267494688,0
2024-02-01 00:00:00,ATM_0049,30,2083.3333333333335,1,30,1,28.669219460766175,76.87238035141422,0
2024-02-01 00:00:00,ATM_0050,27,1962.962962962963,1,27,1,28.473884566155075,77.28972697084359,0
2024-02-01 00:00:00,ATM_0051,33,2136.3636363636365,0,33,0,28.798981789580797,77.14353030758133,0
2024-02-01 00:00:00,ATM_0052,21,1642.857142857143,0,21,0,28.849278977748227,77.05459880598332,0
2024-02-01 00:00:00,ATM_0053,29,2465.5172413793102,1,29,1,28.656445183113036,77.28210307058383,1
2024-02-01 00:00:00,ATM_0054,32,2390.625,4,32,2,28.664962754366464,77.00742005113402,0
2024-02-01 00:00:00,ATM_0055,32,2562.5,0,32,0,28.60969098119266,77.14282991073334,0
2024-02-01 00:00:00,ATM_0056,34,1852.9411764705883,1,34,1,28.864807498458006,76.9440456596748,0
2024-02-01 00:00:00,ATM_0057,30,2500.0,2,30,2,28.453652706759225,76.98024281274773,0
2024-02-01 00:00:00,ATM_0058,36,2194.4444444444443,1,36,1,28.459938855131217,76.91594380179919,0
2024-02-01 00:00:00,ATM_0059,27,1203.7037037037037,0,27,0,28.653569823624796,76.88011618472255,1
2024-02-01 00:00:00,ATM_0060,31,2483.8709677419356,1,31,2,28.48729350675347,77.2007399922464,0
2024-02-01 00:00:00,ATM_0061,28,2500.0,0,28,0,28.48444341482176,76.91234357442612,0
2024-02-01 00:00:00,ATM_0062,26,2192.3076923076924,0,26,0,28.47157003440945,77.16606605660496,0
2024-02-01 00:00:00,ATM_0063,37,1797.2972972972973,0,37,0,28.575068742348844,76.93703212741507,0
2024-02-01 00:00:00,ATM_0064,23,1760.8695652173913,0,23,0,28.705969612991527,76.97156736298008,0
2024-02-01 00:00:00,ATM_0065,33,1469.6969696969697,1,33,1,28.638452804160444,76.82760186306662,0
2024-02-01 00:00:00,ATM_0066,25,1620.0,1,25,1,28.701648714558416,76.86415327826172,0
2024-02-01 00:00:00,ATM_0067,23,1608.695652173913,0,23,1,28.58680981755519,77.00561941492182,0
2024-02-01 00:00:00,ATM_0068,30,2400.0,0,30,0,28.464486538717647,77.05849176824744,0
2024-02-01 00:00:00,ATM_0069,26,2519.230769230769,1,26,1,28.520916564235915,77.24384949193971,0
2024-02-01 00:00:00,ATM_0070,24,2458.3333333333335,0,24,0,28.78290765314186,77.00227637508101,0
2024-02-01 00:00:00,ATM_0071,32,1671.875,0,32,0,28.7745931021089,76.80629961841085,0
2024-02-01 00:00:00,ATM_0072,27,1555.5555555555557,1,27,1,28.73971947330931,77.2686414054579,0
2024-02-01 00:00:00,ATM_0073,37,2175.675675675676,0,37,0,28.48311427904077,77.14717861308476,0
2024-02-01 00:00:00,ATM_0074,25,2780.0,0,25,0,28.82620504592694,77.04449029386885,0
2024-02-01 00:00:00,ATM_0075,17,2794.1176470588234,0,17,0,28.86740892062774,77.00615586152024,0
2024-02-01 00:00:00,ATM_0076,23,1717.391304347826,1,23,2,28.61822382784498,77.18396814795913,0
2024-02-01 00:00:00,ATM_0077,27,1962.962962962963,2,27,1,28.626318826708857,77.03134157848449,0
2024-02-01 00:00:00,ATM_0078,20,2225.0,1,20,1,28.747275949201583,76.9989492540659,0
2024-02-01 00:00:00,ATM_0079,30,1500.0,0,30,0,28.425332634424763,77.15931455475709,0
2024-02-01 00:00:00,ATM_0080,29,1810.344827586207,1,29,1,28.51291701613933,77.04538710904308,0
2024-02-01 00:00:00,ATM_0081,38,1144.7368421052631,2,38,0,28.67139865013699,76.83519461670946,1
2024-02-01 00:00:00,ATM_0082,26,2230.769230769231,3,26,1,28.560935233544473,77.24838015088942,0
2024-02-01 00:00:00,ATM_0083,21,2023.8095238095239,0,21,0,28.68615143189103,77.07537036459497,0
2024-02-01 00:00:00,ATM_0084,27,2092.5925925925926,0,27,0,28.778882623871596,77.19295502199624,0
2024-02-01 00:00:00,ATM_0085,24,2729.1666666666665,0,24,1,28.509394297630138,77.14602518029304,0
2024-02-01 00:00:00,ATM_0086,22,1068.1818181818182,1,22,1,28.41515148184658,77.19156588482609,0
